,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,REGION FOUND,,Loot,2,50.00%,A_COURTYARD,2,<- # Draws,BLOOD_LOW,1,<- # Draws,A,1,<- # Draws,,Valuables are found strewn among the gestating eggs!,
,,ALL,,Quirk,,,,,,,,,,,,,,
,,FULL CURIO?,,Effect,,,,,,,,,,,,,Gestating beasts spring forth from their eggs!,
,,Yes,,Purge,,,,,,,,,,,,,,
,,TAGS,,Scouting,,,,,,,,,,,,,,
,,Knowledge,Scrounging,Teleport,,,,,,,,,,,,,,
,,,CCrave,Disease,,,,,,,,,,,,,,
,,,,Summon,12,,egg_cluster_1,,,,,,,,,,,
,,Item Interactions,,ITEM,RESULT TYPE,,RESULT 1,R1 WEIGHT,R1 %,RESULT 2,R2 WEIGHT,R2 %,RESULT 3,R3 WEIGHT,R3 %,,STRING,NOTES
,,,,torch,Effect,,ConfessionBoothHealStress2,1,<- # Draws,,,,,,,heal_stress,Relief washes over the party as no fiend survived the resulting inferno.,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,5,Blood Shrew Hooded,,Mixed,,,,,,,,,,,,,,
,,ID STRING,,RESULT TYPES,WEIGHT,% CHANCE,RESULT 1,R1 WEIGHT,R1 %,RESULT 2,R2 WEIGHT,R2 %,RESULT 3,R3 WEIGHT,R3 %,,STRING,NOTES
,,cc_shrew_hooded,,Nothing,1,14.29%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,The supplicant does not seem to notice the hero.,
,,REGION FOUND,,Loot,2,28.57%,A_COURTYARD,1,<- # Draws,BLOOD_LOW,1,<- # Draws,A,1,<- # Draws,,The shrew seems oblivious to the hero's pilfering.,
,,ALL,,Quirk,,,,,,,,,,,,,,
,,FULL CURIO?,,Effect,3,42.86%,Stress 2,1,100.00%,,,,,,,,The urchin's arcane mutterings stir deep terror within!,
,,Yes,,Purge,,,,,,,,,,,,,,
,,TAGS,,Scouting,,,,,,,,,,,,,,
,,CCrave,Haunted,Teleport,,,,,,,,,,,,,,
,,Unholy,,Disease,1,7.69%,curio_curse,2,66.67%,random,1,33.33%,,,,,The shrew's filthy grasp is like iron and its nails rake the hero!,
,,,,,,,,,,,,,,,,,,
,,Item Interactions,,ITEM,RESULT TYPE,,RESULT 1,R1 WEIGHT,R1 %,RESULT 2,R2 WEIGHT,R2 %,RESULT 3,R3 WEIGHT,R3 %,,STRING,NOTES
,,,,the_blood#estate,Loot,,T,2,100.00%,,,,,,,loot,"From a hidden fold, the shrew offers up a rare treasure!",
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,6,Blood Shrew Elder,,Good,,,,,,,,,,,,,,
,,ID STRING,,RESULT TYPES,WEIGHT,% CHANCE,RESULT 1,R1 WEIGHT,R1 %,RESULT 2,R2 WEIGHT,R2 %,RESULT 3,R3 WEIGHT,R3 %,,STRING,NOTES
,,cc_shrew_elder,,Nothing,1,25.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,The supplicant is incoherent and penniless. Harmless.,
,,REGION FOUND,,Loot,0,,,,<- # Draws,,,<- # Draws,A,1,<- # Draws,,The shrew seems oblivious to the hero's pilfering.,
,,Ruins,,Quirk,,,,,,,,,,,,,,
,,FULL CURIO?,,Effect,2,33.33%,Eldritch Killer 2,1,100.00%,,,,,,,,"The shrew performs a strange ritual, but the results seem positive!",
,,Yes,,Purge,,,,,,,,,,,,,,
,,TAGS,,Scouting,2,50.00%,1 - map,1,100.00%,,,,,,,,A greasy vellum is proferred to the hero.,
,,CCrave,Haunted,Teleport,,,,,,,,,,,,,,
,,Unholy,,Disease,1,7.69%,curio_curse,1,50.00%,random,1,50.00%,,,,,The shrew's filthy grasp is like iron and its nails rake the hero!,
,,,,,,,,,,,,,,,,,,
,,Item Interactions,,ITEM,RESULT TYPE,,RESULT 1,R1 WEIGHT,R1 %,RESULT 2,R2 WEIGHT,R2 %,RESULT 3,R3 WEIGHT,R3 %,,STRING,NOTES
,,,,the_blood#estate,Loot,,T,3,100.00%,,,,,,,loot,"From a hidden fold, the shrew offers up a rare treasure!",
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,7,Amusing Game,,Mixed,,,,,,,,,,,,,,
,,ID STRING,,RESULT TYPES,WEIGHT,% CHANCE,RESULT 1,R1 WEIGHT,R1 %,RESULT 2,R2 WEIGHT,R2 %,RESULT 3,R3 WEIGHT,R3 %,,STRING,NOTES
,,cc_hammer_game,,Nothing,2,20.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,Mouldering evidence of sick and debased pass times!,
,,REGION FOUND,,Loot,1,10.00%,A_COURTYARD,1,<- # Draws,BLOOD_LOW,2,<- # Draws,A,1,<- # Draws,,A stack of bets is found by the instruments of torture!,
,,ALL,,Quirk,3,30.00%,positive,1,50.00%,negative,1,50.00%,,,,,The macabre remains awaken suppressed desires!,
,,FULL CURIO?,,Effect,4,40.00%,Stress 3,1,100.00%,,,,,,,,Images of debauched games leap unbidden into the mind!,
,,Yes,,Purge,,,,,,,,,,,,,,
,,TAGS,,Scouting,,,,,,,,,,,,,,
,,Unholy,Haunted,Teleport,,,,,,,,,,,,,,
,,Scrounging,Torture,Disease,,,,,,,,,,,,,,
,,Reflective,,,,,,,,,,,,,,,,
,,Item Interactions,,ITEM,RESULT TYPE,,RESULT 1,R1 WEIGHT,R1 %,RESULT 2,R2 WEIGHT,R2 %,RESULT 3,R3 WEIGHT,R3 %,,STRING,NOTES
,,,,shovel,Loot,,H,3,100.00%,,,,,,,loot,The hero cracks open the skull to reveal loot!  Who put it here..?,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,8,Bloodflower,,Mixed,,,,,,,,,,,,,,
,,ID STRING,,RESULT TYPES,WEIGHT,% CHANCE,RESULT 1,R1 WEIGHT,R1 %,RESULT 2,R2 WEIGHT,R2 %,RESULT 3,R3 WEIGHT,R3 %,,STRING,NOTES
,,cc_bloodflower,,Nothing,2,15.38%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,Apparently these ghoulish flowers are harmless.,
,,REGION FOUND,,Loot,2,15.38%,A_COURTYARD,1,<- # Draws,BLOOD_LOW,1,<- # Draws,A,1,<- # Draws,,The potting soil reveals its treasure!,
,,Ruins,,Quirk,,,,,,,,,,,,,,
,,FULL CURIO?,,Effect,5,71.43%,Stress 2,1,100.00%,,,,,,,,"The blossoms reek of death, pestilence and unfathomable nightmares!",
,,Yes,,Purge,,,,,,,,,,,,,,
,,TAGS,,Scouting,3,23.08%,2 - all,1,100.00%,,,,,,,,A map is nestled between the thorns and blossoms!,
,,Scrounging,Knowledge,Teleport,,,,,,,,,,,,,,
,,,,Disease,1,7.69%,tetanus,2,33.33%,random,1,16.67%,curio_curse,3,,,"Thorns hook into the flesh, a cloying sap seeps into the hero's blood!",
,,,,,,,,,,,,,,,,,,
,,Item Interactions,,ITEM,RESULT TYPE,,RESULT 1,R1 WEIGHT,R1 %,RESULT 2,R2 WEIGHT,R2 %,RESULT 3,R3 WEIGHT,R3 %,,STRING,NOTES
,,,,the_blood#estate,Nothing,,,1,<- # Draws,,,<- # Draws,,,<- # Draws,nothing,The flowers visibly surge with growth! But nothing further occurs.,
,,,,holy_water,Effect,,Stress 2,1,100.00%,,,,,,,stress,,
,,,,shovel,Loot,,H,2,66.67%,A,1,33.33%,,,,loot,,
,,,,,,,,,,,,,,,,,,
,9,Serving Cart,,Mixed,,,,,,,,,,,,,,
,,ID STRING,,RESULT TYPES,WEIGHT,% CHANCE,RESULT 1,R1 WEIGHT,R1 %,RESULT 2,R2 WEIGHT,R2 %,RESULT 3,R3 WEIGHT,R3 %,,STRING,NOTES
,,cc_food_cart,,Nothing,1,20.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,Everything has been eaten already.,
,,REGION FOUND,,Loot,1,20.00%,CS,4,<- # Draws,S,1,<- # Draws,BLOOD_MED,1,<- # Draws,,The bones house some supplies.,
,,Warrens,,Quirk,1,35.00%,stress_eater,,,,,,,,,,,
,,FULL CURIO?,,Effect,1,20.00%,Blight 1,1,100.00%,,,,,,,,The rotting food makes the hero ill.,
,,Yes,,Purge,,,,,,,,,,,,,,
,,TAGS,,Scouting,,,,,,,,,,,,,,
,,Haunted,Unholy,Teleport,,,,,,,,,,,,,,
,,Food,Body,Disease,1,20.00%,random,1,33.33%,curio_curse,2,,,,,,Some things are obviously best left alone!,
,,CCrave,,,,,,,,,,,,,,,,
,,Item Interactions,,ITEM,RESULT TYPE,,RESULT 1,R1 WEIGHT,R1 %,RESULT 2,R2 WEIGHT,R2 %,RESULT 3,R3 WEIGHT,R3 %,,STRING,NOTES
,,,,medicinal_herbs,Loot,,P,2,<- # Draws,CS,1,<- # Draws,,,<- # Draws,loot,Precise use of herbs purifies the tainted remains.,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,10,Wine Crate,,Good,,,,,,,,,,,,,,
,,ID STRING,,RESULT TYPES,WEIGHT,% CHANCE,RESULT 1,R1 WEIGHT,R1 %,RESULT 2,R2 WEIGHT,R2 %,RESULT 3,R3 WEIGHT,R3 %,,STRING,NOTES
,,cc_wine_crate,,Nothing,1,8.33%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,"Broken glass, shattered wood holding nothing but ancient dust.",
,,REGION FOUND,,Loot,5,41.67%,BLOOD_HIGH,2,<- # Draws,A_COURTYARD,1,<- # Draws,CS,4,<- # Draws,,"Instead of bottles, this crates holds treasure!",
,,ALL,,Quirk,2,40.00%,alcoholism,1,100.00%,,,,,,,,A single sip uncorks a disturbing new habit!,
,,FULL CURIO?,,Effect,1,20.00%,Minor Bleed 3,1,100.00%,,,,,,,,A wiser hero would not have tried to handle broken glass!,
,,Yes,,Purge,,,,,,,,,,,,,,
,,TAGS,,Scouting,1,8.33%,2 - room_treasures,3,50.00%,1 - room_treasures,2,33.33%,3 - room_treasures,1,16.67%,,The hero breaks the empty bottle and discovers a treasure map!,
,,Scrounging,,Teleport,,,,,,,,,,,,,,
,,Treasure,Drink,Disease,2,16.67%,curio_curse,2,,,,,,,,,,
,,CCrave,,,,,,,,,,,,,,,,
,,Item Interactions,,ITEM,RESULT TYPE,,RESULT 1,R1 WEIGHT,R1 %,RESULT 2,R2 WEIGHT,R2 %,RESULT 3,R3 WEIGHT,R3 %,,STRING,NOTES
,,,,antivenom,Effect,,ConfessionBoothHealStress2,1,100.00%,,,,,,,heal_stress,,
,,,,shovel,Loot,,WOOD_LOOT,1,100.00%,,,,,,,loot,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Red Key Chest,,Good,,,,,,,,,,,,,,
,,ID STRING,,RESULT TYPES,WEIGHT,% CHANCE,RESULT 1,R1 WEIGHT,R1 %,RESULT 2,R2 WEIGHT,R2 %,RESULT 3,R3 WEIGHT,R3 %,,STRING,NOTES
,,redkey_heirloom_chest,,Nothing,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
,,REGION FOUND,,Loot,5,125.00%,KEY_1,1,,,,,,,,,,
,,Courtyard,,Quirk,,,,,,,,,,,,,,
,,FULL CURIO?,,Effect,,,,,,,,,,,,,,
,,Yes,,Purge,,,,,,,,,,,,,,
,,TAGS,,Scouting,,,,,,,,,,,,,,
,,,,Teleport,,,,,,,,,,,,,,
,,,,Disease,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Item Interactions,,ITEM,RESULT TYPE,,RESULT 1,R1 WEIGHT,R1 %,RESULT 2,R2 WEIGHT,R2 %,RESULT 3,R3 WEIGHT,R3 %,,STRING,NOTES
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Blue Key Chest,,Good,,,,,,,,,,,,,,
,,ID STRING,,RESULT TYPES,WEIGHT,% CHANCE,RESULT 1,R1 WEIGHT,R1 %,RESULT 2,R2 WEIGHT,R2 %,RESULT 3,R3 WEIGHT,R3 %,,STRING,NOTES
,,bluekey_heirloom_chest,,Nothing,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
,,REGION FOUND,,Loot,5,125.00%,KEY_4,1,,,,,,,,,,
,,Courtyard,,Quirk,,,,,,,,,,,,,,
,,FULL CURIO?,,Effect,,,,,,,,,,,,,,
,,Yes,,Purge,,,,,,,,,,,,,,
,,TAGS,,Scouting,,,,,,,,,,,,,,
,,,,Teleport,,,,,,,,,,,,,,
,,,,Disease,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Item Interactions,,ITEM,RESULT TYPE,,RESULT 1,R1 WEIGHT,R1 %,RESULT 2,R2 WEIGHT,R2 %,RESULT 3,R3 WEIGHT,R3 %,,STRING,NOTES
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Green Key Chest,,Good,,,,,,,,,,,,,,
,,ID STRING,,RESULT TYPES,WEIGHT,% CHANCE,RESULT 1,R1 WEIGHT,R1 %,RESULT 2,R2 WEIGHT,R2 %,RESULT 3,R3 WEIGHT,R3 %,,STRING,NOTES
,,greenkey_heirloom_chest,,Nothing,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
,,REGION FOUND,,Loot,5,125.00%,KEY_3,1,,,,,,,,,,
,,Courtyard,,Quirk,,,,,,,,,,,,,,
,,FULL CURIO?,,Effect,,,,,,,,,,,,,,
,,Yes,,Purge,,,,,,,,,,,,,,
,,TAGS,,Scouting,,,,,,,,,,,,,,
,,,,Teleport,,,,,,,,,,,,,,
,,,,Disease,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Item Interactions,,ITEM,RESULT TYPE,,RESULT 1,R1 WEIGHT,R1 %,RESULT 2,R2 WEIGHT,R2 %,RESULT 3,R3 WEIGHT,R3 %,,STRING,NOTES
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Yellow Key Chest,,Good,,,,,,,,,,,,,,
,,ID STRING,,RESULT TYPES,WEIGHT,% CHANCE,RESULT 1,R1 WEIGHT,R1 %,RESULT 2,R2 WEIGHT,R2 %,RESULT 3,R3 WEIGHT,R3 %,,STRING,NOTES
,,yellowkey_heirloom_chest,,Nothing,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
,,REGION FOUND,,Loot,5,125.00%,KEY_2,1,,,,,,,,,,
,,Courtyard,,Quirk,,,,,,,,,,,,,,
,,FULL CURIO?,,Effect,,,,,,,,,,,,,,
,,Yes,,Purge,,,,,,,,,,,,,,
,,TAGS,,Scouting,,,,,,,,,,,,,,
,,,,Teleport,,,,,,,,,,,,,,
,,,,Disease,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Item Interactions,,ITEM,RESULT TYPE,,RESULT 1,R1 WEIGHT,R1 %,RESULT 2,R2 WEIGHT,R2 %,RESULT 3,R3 WEIGHT,R3 %,,STRING,NOTES
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Trinket Chest,,Good,,,,,,,,,,,,,,
,,ID STRING,,RESULT TYPES,WEIGHT,% CHANCE,RESULT 1,R1 WEIGHT,R1 %,RESULT 2,R2 WEIGHT,R2 %,RESULT 3,R3 WEIGHT,R3 %,,STRING,NOTES
,,trinket_chest,,Nothing,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
,,REGION FOUND,,Loot,5,125.00%,T_CC,1,,,,,,,,,,
,,Courtyard,,Quirk,,,,,,,,,,,,,,
,,FULL CURIO?,,Effect,,,,,,,,,,,,,,
,,Yes,,Purge,,,,,,,,,,,,,,
,,TAGS,,Scouting,,,,,,,,,,,,,,
,,,,Teleport,,,,,,,,,,,,,,
,,,,Disease,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Item Interactions,,ITEM,RESULT TYPE,,RESULT 1,R1 WEIGHT,R1 %,RESULT 2,R2 WEIGHT,R2 %,RESULT 3,R3 WEIGHT,R3 %,,STRING,NOTES
,,,,skeleton_key,Loot,,H,2,66.67%,A,1,33.33%,,,,loot,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,CC Treasure Chest,,Good,,,,,,,,,,,,,,
,,ID STRING,,RESULT TYPES,WEIGHT,% CHANCE,RESULT 1,R1 WEIGHT,R1 %,RESULT 2,R2 WEIGHT,R2 %,RESULT 3,R3 WEIGHT,R3 %,,STRING,NOTES
,,cc_treasure_chest,,Nothing,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
,,REGION FOUND,,Loot,5,125.00%,A,1,,T,2,,G,1,,,,
,,Courtyard,,Quirk,,,,,,,,,,,,,,
,,FULL CURIO?,,Effect,,,,,,,,,,,,,,
,,Yes,,Purge,,,,,,,,,,,,,,
,,TAGS,,Scouting,,,,,,,,,,,,,,
,,,,Teleport,,,,,,,,,,,,,,
,,,,Disease,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Item Interactions,,ITEM,RESULT TYPE,,RESULT 1,R1 WEIGHT,R1 %,RESULT 2,R2 WEIGHT,R2 %,RESULT 3,R3 WEIGHT,R3 %,,STRING,NOTES
,,,,skeleton_key,Loot,,H,2,66.67%,A,1,33.33%,,,,loot,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Egg Cluster For Infested Regions,,Bad,,,,,,,,,,,,,,
,,ID STRING,,RESULT TYPES,WEIGHT,% CHANCE,RESULT 1,R1 WEIGHT,R1 %,RESULT 2,R2 WEIGHT,R2 %,RESULT 3,R3 WEIGHT,R3 %,,STRING,NOTES
,,cc_infested_egg_cluster,,Nothing,,,,,,,,,,,,,,
,,REGION FOUND,,Loot,,,,,,,,,,,,,,
,,ALL,,Quirk,,,,,,,,,,,,,,
,,FULL CURIO?,,Effect,,,,,,,,,,,,,,
,,Yes,,Purge,,,,,,,,,,,,,,
,,TAGS,,Scouting,,,,,,,,,,,,,,
,,,,Teleport,,,,,,,,,,,,,,
,,,,Disease,,,,,,,,,,,,,,
,,,,Summon,12,,infested_egg_cluster_1,,,,,,,,,,Gestating beasts spring forth from their eggs!,
,,Item Interactions,,ITEM,RESULT TYPE,,RESULT 1,R1 WEIGHT,R1 %,RESULT 2,R2 WEIGHT,R2 %,RESULT 3,R3 WEIGHT,R3 %,,STRING,NOTES
