{b2191b3f-2453-4d7c-a027-8babfb1c93e1} event:/ambience/dungeon/cove
{eeadd94e-3bc1-4489-8b4d-71612dd0d8d5} event:/camp/skill/pet_the_hound
{0d4cdcf7-979f-4101-b506-62198bc5b822} event:/camp/skill/pilfer
{768f0316-f84b-40d0-aa62-8abe71cc8d20} event:/camp/skill/planned_takedown
{2b898706-f81c-43a1-9fcc-8125a1c76627} event:/camp/skill/pray
{c7daff70-31d6-4f3c-ad3b-5e7c590f8c4c} event:/camp/skill/preventative_medicine
{6ae768fa-6488-4881-af6a-594dc1adc751} event:/camp/skill/psych_up
{131557fb-d859-44f2-9ea2-65e5e49d6c8a} event:/camp/skill/quarantine
{0a9b397f-6dad-4890-9e59-ea699bb9b9f1} event:/camp/skill/reflection
{5b72431e-db50-432e-8f54-3067608e343d} event:/camp/skill/reject_the_gods
{6460f170-b6ff-4d9f-9f58-83f5fa490a96} event:/camp/skill/release_the_hound
{16db1af1-161c-4124-ab40-a8cfdd94f48e} event:/camp/skill/restring_crossbow
{ef23e644-6910-4bd4-b684-8c77d784ea5c} event:/camp/skill/revel
{6057bb01-8644-47ba-970a-90b0470866fd} event:/camp/skill/sanctuary
{61749515-54b8-4fbf-b977-a1ad24141b2a} event:/camp/skill/scout_ahead
{2bc7571f-0085-42d2-82b8-928e693b53a9} event:/camp/skill/self_medicate
{9788fe5c-c258-49b2-856a-0c28ed8ec92b} event:/camp/skill/sharpen_spear
{8272770d-0b03-4bac-b85e-449c7dbdee6b} event:/camp/skill/stand_tall
{b584183a-546f-43b7-ba93-d3f7c2ef2f55} event:/camp/skill/strange_powders
{eae9534d-48dc-47b1-ac93-39c0e9c180df} event:/camp/skill/supply
{2f4e8368-8542-4789-96ef-f2fd3cb052f8} event:/camp/skill/tactics
{812ee0bf-a5a3-42d3-87ee-b86c2dd3a203} event:/camp/skill/the_quickening
{2b544c8c-49a9-40f0-9ea2-65d221442f6c} event:/camp/skill/therapy_dog
{754fc457-6a0f-492c-98e3-d79e17477af4} event:/camp/skill/tigers_eye
{939873df-b4db-4d23-814a-6c033a7b8929} event:/camp/skill/tracking
{01c36e2a-1dac-4d0e-8943-01abdaefdf76} event:/camp/skill/triage
{1d0f073a-50a4-4634-8613-5a6dcf32040c} event:/camp/skill/trinket_scrounge
{67055ed8-2e24-4f40-b517-7c222883dc91} event:/camp/skill/turn_back_time
{60d434cd-42d2-4a17-bcf0-ac5ba3a71784} event:/camp/skill/uncatchable
{8c5bd6d6-7e85-4dd8-8def-4c97d46a25ac} event:/camp/skill/unshakeable_leader
{92980214-001e-490f-a8a7-752f5d04311c} event:/camp/skill/unspeakable_commune
{a747f233-3466-41ee-977b-7b4e331cf1d8} event:/camp/skill/weapons_practice
{20a0e0ff-1267-48f6-910d-1dd199df6d72} event:/camp/skill/zealous_speech
{95dc4f21-cef7-4e25-aab9-fb90273e18ab} event:/camp/skill/zealous_vigil
{b08bc288-aa22-4bfc-bb16-5576a8bc246b} event:/char/ally/abomination_absolution_human
{980f0e13-9ba1-4b8b-bd03-8f5aca475b17} event:/char/ally/abomination_absolution_miss_human
{99718c36-cbc3-4227-aae3-4cd38305f278} event:/char/ally/abomination_manacles_human
{138d2aef-90a2-40fa-a061-a1807e4327bb} event:/char/ally/abomination_manacles_miss_human
{8c9796d7-0206-44d9-b41a-1c021ddb9dfa} event:/char/ally/abomination_rage_beast
{ce83328a-aba0-498c-999e-9d256a842554} event:/char/ally/abomination_rage_miss_beast
{c79b8935-2c1e-46bf-b3bc-35005a4d9387} event:/char/ally/abomination_rake_beast
{5da28731-6cee-480a-8c21-0795bc79b2bd} event:/char/ally/abomination_rake_miss_beast
{ee791c28-0a7f-4948-b03d-e12043334463} event:/char/ally/abomination_slam_beast
{bd829561-1d7a-464e-8558-37bcb8475bf6} event:/char/ally/abomination_slam_miss_beast
{fd9485cc-16bc-4b96-96cf-880d2d35a217} event:/char/ally/abomination_transform_beast
{b48fbe00-0ccf-4d9b-a731-31fa118c5209} event:/char/ally/abomination_transform_human
{9876c559-39d5-457f-9221-e9dcf53be744} event:/char/ally/abomination_vomit_human
{9de3e639-c66d-4d59-ab9a-d4f8b8c7ff1a} event:/char/ally/abomination_vomit_miss_human
{7da88dc0-e9ca-40ae-ac1f-a7629e998f7d} event:/char/ally/antiquarian_cower
{775da765-19dc-4efd-b3ea-f188713142b5} event:/char/ally/antiquarian_festering_vapours
{b3836913-2a86-4ec8-9b97-fc5d0237d218} event:/char/ally/antiquarian_festering_vapours_miss
{43a7e970-9122-4d92-a887-ac35b69cb9af} event:/char/ally/antiquarian_flashpowder
{5a8ba237-47c4-4156-8c59-94a653b91192} event:/char/ally/antiquarian_flashpowder_miss
{f233ed88-5032-40e6-aca5-63e970d5be1a} event:/char/ally/antiquarian_fortifying_vapours
{784a4745-d9b0-4a33-9632-a55f82554ed4} event:/char/ally/antiquarian_invigorating_vapours
{1ff60890-72bb-43d0-8a51-a76c5f32c161} event:/char/ally/antiquarian_kris_stab
{ce8d1426-89f0-4b8e-b844-645019406974} event:/char/ally/antiquarian_kris_stab_miss
{2a4e04c3-8dc7-4b95-84bc-db85891aa159} event:/char/ally/antiquarian_protect_me
{3dd9e65c-236f-46df-b4e3-ea97e1a2e0cf} event:/char/ally/arbalest_battlefield_bandage
{9be7c7f9-b758-47da-82bc-74265768522a} event:/char/ally/arbalest_battlefield_bandage_miss
{d0162411-ca36-470b-915d-02975816cdb1} event:/char/ally/arbalest_blindfire
{6054a4f7-f273-40c0-87a1-f56925508c42} event:/char/ally/arbalest_blindfire_miss
{45abf462-c779-4c71-a8fb-04491a37e244} event:/char/ally/arbalest_bola
{fa5d8aa9-ef4e-43cf-a21f-4b384f816e4f} event:/char/ally/arbalest_bola_miss
{456d1758-dafe-4f5c-8ea9-3188df1f8008} event:/char/ally/arbalest_flare
{c4177837-caa0-4ea4-a61e-381700d0af9b} event:/char/ally/arbalest_flare_miss
{27622001-f911-46a7-b3e1-a83ddea9cb23} event:/char/ally/arbalest_sniper_mark
{eaa93133-f63d-47c8-94d5-b487d70ee30c} event:/char/ally/arbalest_sniper_mark_miss
{3ed705e7-2295-4c8d-8b3f-c7330ae71919} event:/char/ally/arbalest_sniper_shot
{0110f0b9-130d-49b8-b577-733c84957177} event:/char/ally/arbalest_sniper_shot_miss
{0e9b0fcc-eb45-491c-add2-201f0c173d37} event:/char/ally/arbalest_suppressing_fire
{d5569ca6-06d5-43b4-ab9b-73fb012b0fbe} event:/char/ally/arbalest_suppressing_fire_miss
{4a80d4d3-48e6-405f-8db0-34cd86dc0185} event:/char/ally/bounty_hunter_collect_bounty
{d5f5bd17-ee8c-45d3-8549-a1ba8fc1bf6f} event:/char/ally/bounty_hunter_collect_bounty_miss
{bad19932-f2cb-41f6-ae01-83c9301cbe46} event:/char/ally/bounty_hunter_come_hither
{3a51f902-2308-46f1-a403-feecec57fd42} event:/char/ally/bounty_hunter_come_hither_miss
{a4b11b99-762d-4818-96fe-857fa9eb16ff} event:/char/ally/bounty_hunter_finish_him
{ff64dc54-7080-45bb-a355-62d8022f78b6} event:/char/ally/bounty_hunter_finish_him_miss
{8f1079d0-73e1-4ee0-9018-44dd53fffdb7} event:/char/ally/bounty_hunter_flashbang
{905245db-d18e-4f98-878b-486af5280279} event:/char/ally/bounty_hunter_flashbang_miss
{a08d89c3-3e74-4120-90f8-3b7f5c2e2dc7} event:/char/ally/bounty_hunter_hook_and_slice
{86652390-988f-4fa6-a935-8a00137048c9} event:/char/ally/bounty_hunter_hook_and_slice_miss
{fb0fe162-7fa6-4afd-a207-8c9b45763826} event:/char/ally/bounty_hunter_target_tag
{29829099-ac72-4138-a3d9-a8bc3fe783c0} event:/char/ally/bounty_hunter_target_tag_miss
{fcf5b857-f95e-4db9-b157-9e5bca216b9a} event:/char/ally/bounty_hunter_uppercut
{e0845e1c-4282-4c1c-8258-54baa56fdacb} event:/char/ally/bounty_hunter_uppercut_miss
{531fd9f9-a932-4fdc-a85c-c663c437d207} event:/char/ally/crusader_battle_heal
{ebc9f445-32f7-4186-8657-a4a86b3e40a0} event:/char/ally/crusader_battle_heal_miss
{94e7ddc3-5f3b-4c29-9c62-98be9df2192a} event:/char/ally/crusader_bulwark_of_faith
{2888fd54-4bd4-4f09-a41a-ab5fd7eb80b5} event:/char/ally/crusader_bulwark_of_faith_miss
{52364010-75db-426b-8ff4-129749d50e92} event:/char/ally/crusader_holy_lance
{805f6c5b-e9f3-4f4c-a333-fded3d6b5673} event:/char/ally/crusader_holy_lance_miss
{98925d5d-85aa-4d37-8707-4ff1056f1ca4} event:/char/ally/crusader_inspiring_cry
{aee63bd6-72a1-4beb-811b-4d89ab6ddc3a} event:/char/ally/crusader_inspiring_cry_miss
{4db31fa5-c968-40a4-9c00-2d3a61da9285} event:/char/ally/crusader_smite
{9fcbf3e1-d29c-425c-a5fb-7ff15a7fd09c} event:/char/ally/crusader_smite_miss
{48723e30-7f15-4ee5-979a-63f47df387a0} event:/char/ally/crusader_stunning_blow
{f5908cd3-dcde-4290-b561-8672a4b4481d} event:/char/ally/crusader_stunning_blow_miss
{a195abae-ff9f-42b7-91df-6df2b7bd254a} event:/char/ally/crusader_zealous_accusation
{cc20caa3-5a59-40a4-9262-475e7a4fa85b} event:/char/ally/crusader_zealous_accusation_miss
{71e9d39c-3222-442b-ac32-4a354a02d354} event:/char/ally/grave_robber_flashing_daggers
{bd5a6abb-6f12-40d9-a78f-9a7ad7b35d6e} event:/char/ally/grave_robber_flashing_daggers_miss
{323b22a5-c228-4728-a041-86d136da3c1c} event:/char/ally/grave_robber_lunge
{bafc7150-2e9b-450c-bc2b-a6b02998bf7a} event:/char/ally/grave_robber_lunge_miss
{5e6192df-9e62-44a0-8e08-1494bbebfb16} event:/char/ally/grave_robber_pick
{68fa967d-cfd3-4996-a726-4a8d13861de1} event:/char/ally/grave_robber_pick_miss
{84b71ce5-a6e4-4ba0-a87c-3f3958f51914} event:/char/ally/grave_robber_poison_dart
{43402ea4-f175-42d7-89e8-55aa93d58eae} event:/char/ally/grave_robber_poison_dart_miss
{336422b0-dd96-4077-8b95-e1edabdb7c35} event:/char/ally/grave_robber_shadow_fade
{6e2a234b-913d-427f-b7d8-c8a7a1963c47} event:/char/ally/grave_robber_shadow_fade_miss
{0ec07f3b-1d46-4075-8453-dd317668b25c} event:/char/ally/grave_robber_thrown_dagger
{84544d80-da50-49cd-99f9-7832706a4414} event:/char/ally/grave_robber_thrown_dagger_miss
{702b5c39-d391-4835-9e5a-fdbec356aec9} event:/char/ally/grave_robber_toxin_trickery
{c2bb13e4-87ba-4637-b93b-5c2b15ec98b9} event:/char/ally/grave_robber_toxin_trickery_miss
{a7ccccfc-9d25-4be0-9ed5-8c0f21138771} event:/char/ally/hellion_adrenaline_rush
{d2ed1258-39f1-4e02-ace6-0fc362df33a2} event:/char/ally/hellion_adrenaline_rush_miss
{134c5dcf-0dd7-4ab4-9c20-b01eade92949} event:/char/ally/hellion_barbaric_yawp
{b59b9896-94b2-4f84-a648-037659b736b4} event:/char/ally/hellion_barbaric_yawp_miss
{f5ccd50a-6f16-4686-a7d1-b002884da3ec} event:/char/ally/hellion_bleed_out
{6ab44354-d667-41c3-88e4-c91638192ad2} event:/char/ally/hellion_bleed_out_miss
{f7900809-c0e2-44ee-80a1-0ab91e6a89a6} event:/char/ally/hellion_breakthru
{6eb3ac38-d47e-4756-b581-fd447d4b06e8} event:/char/ally/hellion_breakthru_miss
{9ec7eec3-dc68-414b-8928-38bba235d639} event:/char/ally/hellion_if_it_bleeds
{0ff113e2-963c-4335-858d-38c0ca6d6eb3} event:/char/ally/hellion_if_it_bleeds_miss
{0069e589-4354-4ff4-b93f-62ebf3eb760d} event:/char/ally/hellion_iron_swan
{c9d08de1-7338-4c04-8e62-fd80144606b8} event:/char/ally/hellion_iron_swan_miss
{fb56e920-b003-4967-b732-b4152a1b1a18} event:/char/ally/hellion_wicked_hack
{14c92ddd-188a-4ada-80f6-7d9363eac97c} event:/char/ally/hellion_wicked_hack_miss
{4807b45a-db0c-4f9e-8920-016dbd2ec3a0} event:/char/ally/highwayman_duelist_advance
{5c695421-0b48-47d9-95d0-bc4630052364} event:/char/ally/highwayman_duelist_advance_miss
{b8a0565e-a960-40d9-a47d-f8e901bff04b} event:/char/ally/highwayman_grape_shot_blast
{56b0b171-f3b1-407c-b94c-e8922d2bda6e} event:/char/ally/highwayman_grape_shot_blast_miss
{2c6b63c3-8fe4-42b2-b4a6-3daad7328757} event:/char/ally/highwayman_opened_vein
{8368defb-f1bf-43a2-b0e2-5725f169c270} event:/char/ally/highwayman_opened_vein_miss
{fb74ca52-8b52-49da-9f61-2f2404951233} event:/char/ally/highwayman_pistol_shot
{be6ab17c-b198-4bec-9efa-bfbc0e5148f2} event:/char/ally/highwayman_pistol_shot_miss
{f6586596-8e44-43a7-9e03-0d55f58d4d3a} event:/char/ally/highwayman_point_blank_shot
{4ea12b6d-43ab-4bb8-9f91-38b28d5fb54b} event:/char/ally/highwayman_point_blank_shot_miss
{e49c5c81-0d9a-48a9-808f-8d3dcc0294a5} event:/char/ally/highwayman_riposte1
{38dca82f-e8f3-4d9b-9e94-8a11a6db3478} event:/char/ally/highwayman_riposte1_miss
{7452d6d6-2100-4240-92a1-f298b55be6a1} event:/char/ally/highwayman_take_aim
{f09d2f63-17d7-45f4-ac9c-b1875d65ba05} event:/char/ally/highwayman_take_aim_miss
{fc1da9e7-3766-4ed7-82bf-447161e0db4b} event:/char/ally/highwayman_wicked_slice
{8e187fd5-2d34-4c87-a3c4-51825b34e245} event:/char/ally/highwayman_wicked_slice_miss
{ecd39b1f-b818-45df-bc70-5e0f5346be88} event:/char/ally/houndmaster_blackjack
{f3c8de50-1fc3-4eb7-bc70-f0800c98c48e} event:/char/ally/houndmaster_blackjack_miss
{e485a5a0-7777-4bd3-b0be-9ac0d0db7219} event:/char/ally/houndmaster_guard_dog
{c8a3c594-c7dc-43a3-aec6-f2899b9989cc} event:/char/ally/houndmaster_guard_dog_miss
{dc787556-3fef-4a6b-9612-b0391ad5b020} event:/char/ally/houndmaster_hounds_harry
{d91c4a47-4064-463b-8f00-bc20af92625c} event:/char/ally/houndmaster_hounds_harry_miss
{e0a0e0bc-2eae-450d-bb89-5636e500e9a4} event:/char/ally/houndmaster_hounds_rush
{4932e5a9-d335-413f-9a56-816978ba9bcb} event:/char/ally/houndmaster_hounds_rush_miss
{6b95517d-7091-467f-8936-9d148432bd81} event:/char/ally/houndmaster_howl
{4d27c4f3-1736-478b-a743-3f4ec7842ae0} event:/char/ally/houndmaster_howl_miss
{613d6b0c-36c2-4e49-a967-0ef2c6d7ed03} event:/char/ally/houndmaster_lick_wounds
{c85da990-3ca2-4c65-bdb8-8042a41522d7} event:/char/ally/houndmaster_lick_wounds_miss
{db2c7e2b-61b6-4f21-bccc-ed9303ce8f5d} event:/char/ally/houndmaster_whistle
{8826956a-379f-46eb-b238-53d15c058029} event:/char/ally/houndmaster_whistle_miss
{29d9cfcf-9fae-47e2-aece-39453a8bd0ab} event:/char/ally/jester_battle_ballad
{9ab642cc-1ce4-447e-bfe8-24fe56adc629} event:/char/ally/jester_battle_ballad_miss
{da0522e7-a649-4b59-ab5e-4375918a911c} event:/char/ally/jester_dirk_stab
{35fa8ce1-db9e-4fb7-899d-815cd415ea53} event:/char/ally/jester_dirk_stab_miss
{8bad097c-4f1d-4875-abae-9b8e32714a63} event:/char/ally/jester_harvest
{d7241e4a-4b51-4f57-a35d-a8634ad4fe22} event:/char/ally/jester_harvest_miss
{28a9c499-330a-47ec-9138-46ea8bbb06ca} event:/char/ally/jester_heroic_end
{e11d5a03-ea52-4282-a46a-93844521355e} event:/char/ally/jester_heroic_end_miss
{04bbb68d-5689-4dc5-b8db-fdcb18673993} event:/char/ally/jester_inspiring_tune
{40eb108f-79b4-4536-b47a-6d5a23deac5a} event:/char/ally/jester_inspiring_tune_miss
{d251d531-2eec-48fa-a085-8fbb880a0ed6} event:/char/ally/jester_slice_off
{0cce3946-b324-4598-a2f3-b1e30b85c7e0} event:/char/ally/jester_slice_off_miss
{a302128e-d8e2-4dc2-8a55-4b567673fc62} event:/char/ally/jester_solo
{793b713e-189e-41b4-991b-a5ba80f93217} event:/char/ally/jester_solo_miss
{37f0a452-90f9-4224-9689-260ba04a2a2d} event:/char/ally/leper_chop
{ef556cd6-bf18-44e2-8744-3bf70a72966e} event:/char/ally/leper_chop_miss
{392be05d-8ae9-4e8b-9ba0-9a2ab2fb5b34} event:/char/ally/leper_focus
{f4d8494e-1aa6-4c59-9024-b1d4c1135746} event:/char/ally/leper_focus_miss
{dee09a20-80e8-4461-bbbb-b60699cf604c} event:/char/ally/leper_hew
{edffd8a2-2ad3-4876-b8bb-ad0b0db38412} event:/char/ally/leper_hew_miss
{12879d0a-384d-4f86-9221-00c63d60f8a6} event:/char/ally/leper_intimidate
{2ec94a0f-39c3-4035-819a-462a105a6f45} event:/char/ally/leper_intimidate_miss
{3cf95339-7bc2-45c2-aadc-3b7aa18ff32c} event:/char/ally/leper_revenge
{6898e3ec-cf20-4273-9cc1-c63536a17abb} event:/char/ally/leper_revenge_miss
{1b9499cd-10ee-4816-827f-bf00418648c7} event:/char/ally/leper_solemnity
{07f80561-a8e5-4a39-a26b-0333f7811a33} event:/char/ally/leper_solemnity_miss
{d296695b-510d-42a7-8e00-04f3c7ed986f} event:/char/ally/leper_withstand
{7483bd87-a912-4a24-84be-2da4045f0c2f} event:/char/ally/leper_withstand_miss
{4db8f822-43a6-40c5-9699-157b8b1a0504} event:/char/ally/man_at_arms_bellow
{9f6dfda1-faab-4a43-921d-efc92865c98d} event:/char/ally/man_at_arms_bellow_miss
{b7412b55-5f9c-4d00-bda5-41ff832b5b92} event:/char/ally/man_at_arms_bolster
{71e2ccaf-2cc9-4af1-9f2e-3ecf71f73d80} event:/char/ally/man_at_arms_bolster_miss
{cf9ce630-52d0-481f-82e7-a4b56c14d284} event:/char/ally/man_at_arms_command
{88c1b1a8-b3bf-4269-a057-e8da913894d8} event:/char/ally/man_at_arms_command_miss
{882be93d-4dd7-4c95-a8c3-08c8912ceb05} event:/char/ally/man_at_arms_crush
{975f6e9f-b535-4b79-859f-aeb259f6b14b} event:/char/ally/man_at_arms_crush_miss
{576b4fd9-77d0-4d3f-a8bd-73bef7b80515} event:/char/ally/man_at_arms_defender
{5cf6e64f-ce2a-484f-b983-5468ce990f37} event:/char/ally/man_at_arms_defender_miss
{f17ad673-3ab0-44d1-b23b-d43726a448eb} event:/char/ally/man_at_arms_rampart
{8410a993-7371-4d64-9b4e-f938ae507e47} event:/char/ally/man_at_arms_rampart_miss
{2660adf0-b411-4485-b0d2-ff02bc45e63f} event:/char/ally/man_at_arms_retribution
{d29a51a8-a64c-4e31-ac6b-5090b4c0e4b5} event:/char/ally/man_at_arms_retribution_miss
{b20c77e0-acfc-4d85-8660-86c615d48845} event:/char/ally/man_at_arms_riposte1
{d0f02f8e-ac64-4e19-805d-4d3a62856a99} event:/char/ally/man_at_arms_riposte1_miss
{35ae996c-58dc-450a-b07d-90556c0cc074} event:/char/ally/musketeer_aimed_shot
{66b5f696-97f1-4ab0-b94c-2bca2fa3b21f} event:/char/ally/musketeer_aimed_shot_miss
{05352e91-1105-4d10-a404-db2f7cfe4ce5} event:/char/ally/musketeer_buckshot
{88c35b4c-eef1-4a6d-9d0e-b6a72da3505f} event:/char/ally/musketeer_buckshot_miss
{01151703-8de0-42a1-9c7a-048c11ed56b7} event:/char/ally/musketeer_call_the_shot
{12920a8f-a911-46b1-a7fc-914e7092517b} event:/char/ally/musketeer_call_the_shot_miss
{f73b5194-f560-43df-ac9c-aa8ac57e9cf8} event:/char/ally/musketeer_patch_up
{1e1e49f1-5362-4edf-b55f-e870310f6b0b} event:/char/ally/musketeer_patch_up_miss
{643f01e3-33dd-4d9c-8803-46fafc6143df} event:/char/ally/musketeer_sidearm
{25aa0cd5-78c4-48e9-95b3-f6cc1ce6d3da} event:/char/ally/musketeer_sidearm_miss
{9921cd19-9d16-43a9-942b-8ea78ffcdf20} event:/char/ally/musketeer_skeet_shot
{8eeae79e-23df-4770-b789-8cad8c356785} event:/char/ally/musketeer_skeet_shot_miss
{2d0f8427-8401-4b42-abb8-ca902e4b0571} event:/char/ally/musketeer_smokescreen
{df06e747-6063-46f0-a6c5-8d114d1161d0} event:/char/ally/musketeer_smokescreen_miss
{7dcdf9b1-1f01-4855-9e1e-10c5d5e829c9} event:/char/ally/occultist_abyssal_artillery
{1429b923-bc48-4325-afc6-b0157155f3e1} event:/char/ally/occultist_abyssal_artillery_miss
{0e84b5e4-7a12-4d6f-b58e-d259660fd679} event:/char/ally/occultist_bloodlet
{a9134b46-abad-4193-b6c7-5c5cb39a6166} event:/char/ally/occultist_bloodlet_miss
{ff29c287-6fc3-42c0-87a7-c590b57bd3f2} event:/char/ally/occultist_daemons_pull
{2fe968a4-1437-4bc8-b503-c3137979f091} event:/char/ally/occultist_daemons_pull_miss
{4aec1903-75aa-468c-9405-2f66e7042883} event:/char/ally/occultist_disruptive_curse
{f8e62b8e-b512-4b6f-8855-f7b457bfedcf} event:/char/ally/occultist_disruptive_curse_miss
{a12a158e-ee97-496f-811d-cf9b83348155} event:/char/ally/occultist_hands_from_abyss
{718ca983-0c5b-4599-a627-bec3a88c63fc} event:/char/ally/occultist_hands_from_abyss_miss
{036a64ee-478b-44a4-853f-5c1a3e914a74} event:/char/ally/occultist_weakening_curse
{2d1ae307-2dee-4f04-924b-c9cb183029cb} event:/char/ally/occultist_weakening_curse_miss
{5daab2a7-d659-40ed-9dc0-6b367e29651b} event:/char/ally/occultist_wyrd_reconstruction
{e752c468-9afb-4b40-b2ce-c9de6216b2dc} event:/char/ally/occultist_wyrd_reconstruction_miss
{d8ee2e04-724f-4500-8908-5d57cf92bc43} event:/char/ally/plague_doctor_battlefield_medicine
{c30371e2-99d2-4dba-abab-5f828fc07814} event:/char/ally/plague_doctor_battlefield_medicine_miss
{f026f217-cea8-441c-b82e-8bb72b1f6e2c} event:/char/ally/plague_doctor_blinding_gas
{f1c5062f-8629-4838-a163-3a13dccf9448} event:/char/ally/plague_doctor_blinding_gas_miss
{2c04f177-ea96-4b32-9afc-b82e2351262a} event:/char/ally/plague_doctor_disorienting_blast
{2248cebf-3737-42ce-a3ee-40125b7156f5} event:/char/ally/plague_doctor_disorienting_blast_miss
{9d8446b9-568f-4288-aa1c-3396de5f404e} event:/char/ally/plague_doctor_emboldening_vapours
{6513ba2a-5d61-4ee3-9976-dd6fdbc627d0} event:/char/ally/plague_doctor_emboldening_vapours_miss
{fc8c0a08-45b7-4432-b067-84d5eb9d2727} event:/char/ally/plague_doctor_incision
{69dcf6fd-e79a-4088-80ba-ce6054b514bd} event:/char/ally/plague_doctor_incision_miss
